2024-11-05 12:15:25.071 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.11058831214904785 segundos
2024-11-05 12:15:25.176 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:25.234 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.06273889541625977 segundos
2024-11-05 12:15:25.330 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:25.389 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.07116222381591797 segundos
2024-11-05 12:15:25.472 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.0 segundos
2024-11-05 12:15:25.563 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.001007080078125 segundos
2024-11-05 12:15:25.694 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:25.760 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.09264516830444336 segundos
2024-11-05 12:15:25.858 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Sector' con el valor constante 'Compañia' al DataFrame.
2024-11-05 12:15:25.938 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.09319758415222168 segundos
2024-11-05 12:15:26.090 | INFO     | Transformation_functions:Eliminar_columnas:161 - Columnas ['Cod. Cl Orig._1'] eliminadas con éxito.
2024-11-05 12:15:26.273 | INFO     | Transformation_functions:Eliminar_columnas:161 - Columnas ['Cod. Cl Orig._1'] eliminadas con éxito.
2024-11-05 12:15:26.360 | INFO     | Transformation_functions:Eliminar_columnas:161 - Columnas ['Cod. Cl Orig._1'] eliminadas con éxito.
2024-11-05 12:15:26.430 | INFO     | Transformation_functions:Eliminar_columnas:161 - Columnas ['Cod. Cl Orig._1'] eliminadas con éxito.
2024-11-05 12:15:26.595 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Cambiar_tipo_dato_multiples_columnas: 0.09749364852905273 segundos
2024-11-05 12:15:27.309 | INFO     | Transformation_functions:obtener_valores_unicos_sin_nulos:235 - Se obtuvieron los valores únicos de la columna Agrupacion Concepto: ['Planes de Negocio' 'Negocios' 'Distribución' 'Devoluciones'
 'Dcto Merc. Act.' 'Escalas' 'Apoyo en Ventas' 'Pago Anticipado'
 'Evacuación Temporadas' 'Sin asignar'].
2024-11-05 12:15:27.423 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:27.468 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.08060169219970703 segundos
2024-11-05 12:15:27.584 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Cambiar_tipo_dato_multiples_columnas: 0.039348602294921875 segundos
2024-11-05 12:15:27.664 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:27.712 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.062134504318237305 segundos
2024-11-05 12:15:27.787 | INFO     | Transformation_functions:conservar_primeros_n_caracteres:1046 - Se han conservado los primeros 3 caracteres de la serie Mes del DataFrame.
2024-11-05 12:15:27.923 | SUCCESS  | General_Functions:extraer_sublista_hasta_elemento:241 - Sublista extraída correctamente.
2024-11-05 12:15:28.049 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de filtrar_por_valores: 0.018347501754760742 segundos
2024-11-05 12:15:28.124 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de filtrar_por_valores: 0.005568504333496094 segundos
2024-11-05 12:15:28.194 | SUCCESS  | Transformation_functions:Reemplazar_columna_con_valor_constante:1606 - Columna 'Mes' reemplazada con el valor 'Acum'
